Id,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,cat_crop
1,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Arecanut,1254,2000,Nuts
2,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Other Kharif pulses,2,1,Pulses
3,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,102,321,Cereal
4,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Banana,176,641,Fruits
5,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Cashewnut,720,165,Nuts
6,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Coconut ,18168,65100000,Fruits
7,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Dry ginger,36,100,Species
8,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sugarcane,1,2,Sugarcane
9,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sweet potato,5,15,Vegetables
10,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Tapioca,40,169,Beans
11,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Arecanut,1254,2061,Nuts
12,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Other Kharif pulses,2,1,Pulses
13,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,83,300,Cereal
14,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Cashewnut,719,192,Nuts
15,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Coconut ,18190,64430000,Fruits
16,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Dry ginger,46,100,Species
17,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sugarcane,1,1,Sugarcane
18,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sweet potato,11,33,Vegetables
19,Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,189.2,510.84,Cereal
20,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Arecanut,1258,2083,Nuts
21,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Banana,213,1278,Fruits
22,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Black pepper,63,13.5,Species
23,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Cashewnut,719,208,Nuts
24,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Coconut ,18240,67490000,Fruits
25,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry chillies,413,28.8,Species
26,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry ginger,47.3,133,Species
27,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Sugarcane,5,40,Sugarcane
28,Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,52,90.17,Cereal
29,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Arecanut,1261,1525,Nuts
30,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Banana,266,1763,Fruits
31,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Black pepper,75.5,15.86,Species
32,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Cashewnut,717,208.5,Nuts
33,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Coconut ,18284.74,68580000,Fruits
34,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry chillies,60,102,Species
35,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry ginger,102,326.4,Species
36,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,other oilseeds,4.2,0.3,Oilseeds
37,Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,52.94,72.57,Cereal
38,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Arecanut,1264.7,805.85,Nuts
39,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Banana,66.42,404.12,Fruits
40,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Black pepper,85,15.86,Species
41,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Cashewnut,683.5,197.9,Nuts
42,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Coconut ,18394.7,52380000,Fruits
43,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry chillies,60,145.2,Species
44,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry ginger,118,366,Species
45,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,other oilseeds,1,0.11,Oilseeds
46,Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,2.09,12.06,Cereal
47,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Banana,22,582,Fruits
48,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Black pepper,41,0.1,Species
49,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Cashewnut,450,55.8,Nuts
50,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Coconut ,13876.57,52030000,Fruits
51,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Turmeric,10,70,Species
52,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Arecanut,896,477.6,Nuts
53,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Banana,198,976,Fruits
54,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Black pepper,22.16,0.68,Species
55,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Cashewnut,450,85.13,Nuts
56,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Coconut ,14358,59370000,Fruits
57,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry chillies,3,9,Species
58,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry ginger,6,21,Species
59,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sugarcane,0.2,0.5,Sugarcane
60,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sweet potato,18,86,Vegetables
61,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Tapioca,52.03,450,Beans
62,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Turmeric,2.5,1.03,Species
63,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Rice,3.5,10,Cereal
64,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Sugarcane,13.4,41.75,Sugarcane
65,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Arecanut,944,1610,Nuts
66,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Black pepper,23,8.5,Species
67,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Cashewnut,1000.5,260.5,Nuts
68,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Dry chillies,12,25,Species
69,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Dry ginger,7,9.64,Species
70,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Maize,3.84,18.22,Cereal
71,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Moong(Green Gram),1.5,1.1,Fruits
72,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Sweet potato,22,208,Vegetables
73,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Turmeric,2,0.5,Species
74,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Urad,1.5,1.16,Pulses
75,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Banana,593,3425,Fruits
76,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Coconut ,14560,71300000,Fruits
77,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Tapioca,69,575,Beans
78,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Arecanut,3100,5200,Nuts
79,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Other Kharif pulses,668,448,Pulses
80,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Rice,10779,31863,Cereal
81,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Banana,1531,12073,Fruits
82,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Cashewnut,80,54,Nuts
83,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Coconut ,6992,23900000,Fruits
84,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Dry ginger,352,1120,Species
85,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,other oilseeds,133,55,Oilseeds
86,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sugarcane,141,3736,Sugarcane
87,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sweet potato,78,843,Vegetables
88,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Tapioca,160,2108,Beans
89,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Arecanut,3100,5239,Nuts
90,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Other Kharif pulses,418,199,Pulses
91,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Rice,9718,27033,Cereal
92,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Cashewnut,81,33,Nuts
93,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Coconut ,7015,25250000,Fruits
94,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Dry ginger,344,1124,Species
95,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Sugarcane,81,2379,Sugarcane
96,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Sweet potato,100,5,Vegetables
97,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,Rice,6854.3,18995.62,Cereal
98,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Arecanut,1160,3011.7,Nuts
99,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Banana,957.57,8582,Fruits
100,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Black pepper,175,191.14,Species
101,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Cashewnut,40.5,44,Nuts
102,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Coconut ,3575,15400000,Fruits
103,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Dry chillies,235.72,824.3,Species
104,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Dry ginger,98.66,929,Species
105,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,other oilseeds,35.62,21.4,Oilseeds
106,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sugarcane,71.3,1500,Sugarcane
107,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sweet potato,30,240,Vegetables
108,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Tapioca,255,1420,Beans
109,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Turmeric,68,408,Species
110,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Rice,6791,20118,Cereal
111,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Sugarcane,73.33,889.2,Sugarcane
112,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Arecanut,1296,2290,Nuts
113,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Arhar/Tur,294.5,90.8,Pulses
114,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Black pepper,168,13.5,Species
115,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Cashewnut,84.5,39,Nuts
116,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Dry chillies,254,402,Species
117,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Dry ginger,110,1011.84,Species
118,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Groundnut,4.75,6.8,Nuts
119,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Maize,86.7,96.4,Cereal
120,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Moong(Green Gram),1168.6,556.55,Fruits
121,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Sunflower,2.9,1.9,Oilseeds
122,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Sweet potato,109,480,Vegetables
123,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Turmeric,68,376.5,Species
124,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Urad,1059.5,458.79,Pulses
125,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Banana,657,7968,Fruits
126,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Coconut ,3668,12700000,Fruits
127,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Tapioca,186.5,1355,Beans
128,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif     ,Rice,10695.8,31600.82,Cereal
129,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Arecanut,3105,5267,Nuts
130,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Banana,1524,10882,Fruits
131,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Black pepper,487,102.5,Species
132,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Cashewnut,81,24,Nuts
133,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Coconut ,7060,26830000,Fruits
134,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Dry chillies,239,20.9,Species
135,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Dry ginger,352,1145,Species
136,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,other oilseeds,85.1,40.31,Oilseeds
137,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Sugarcane,455,13760,Sugarcane
138,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif     ,Rice,10509.37,30760.7,Cereal
139,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Arecanut,3118,5182,Nuts
140,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Banana,1530,11558,Fruits
141,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Black pepper,497,104.37,Species
142,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Cashewnut,116.5,26.14,Nuts
143,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Coconut ,7110,26660000,Fruits
144,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Dry chillies,340,578,Species
145,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Dry ginger,406,1299.2,Species
146,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,other oilseeds,82.09,35.51,Oilseeds
147,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Sugarcane,268,2879.52,Sugarcane
148,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif     ,Rice,10681.98,29119.66,Cereal
149,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Arecanut,3160.67,3975.2,Nuts
150,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Banana,1912.1,17374.4,Fruits
151,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Black pepper,570,104.36,Species
152,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Cashewnut,116.5,25.1,Nuts
153,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Coconut ,7156.7,34750000,Fruits
154,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Dry chillies,340,822.8,Species
155,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Dry ginger,410,1462,Species
156,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,other oilseeds,89.3,46.5,Oilseeds
157,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Sugarcane,145.26,1560,Sugarcane
158,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,Rice,8683.38,25870.98,Cereal
159,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Arecanut,3250.78,3058.46,Nuts
160,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Banana,1656.8,10251.13,Fruits
161,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Black pepper,656.45,35.95,Species
162,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Cashewnut,118.5,30.22,Nuts
163,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Coconut ,7050.45,26430000,Fruits
164,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Dry chillies,370.7,877.6,Species
165,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Dry ginger,200,1800,Species
166,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,other oilseeds,53.55,34.2,Oilseeds
167,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Sugarcane,128.02,2448.2,Sugarcane
168,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Sweet potato,131.9,700.35,Vegetables
169,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Tapioca,254.5,1480,Beans
170,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Turmeric,81.7,572,Species
171,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,Rice,921.87,2539.64,Cereal
172,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Arecanut,2000,2350,Nuts
173,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Banana,483,4150,Fruits
174,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Black pepper,413.1,20.18,Species
175,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Cashewnut,79.5,26,Nuts
176,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Coconut ,3483.09,14190000,Fruits
177,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Dry chillies,124.6,34.7,Species
178,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Dry ginger,100.9,900,Species
179,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,other oilseeds,24,14.98,Oilseeds
180,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sugarcane,53.5,999.5,Sugarcane
181,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sweet potato,30.4,220,Vegetables
182,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Tapioca,40,160,Beans
183,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Turmeric,10,60,Species
184,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Rice,1595.5,3788,Cereal
185,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Sugarcane,67.5,402,Sugarcane
186,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Arecanut,1912,1900,Nuts
187,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Arhar/Tur,20.5,13.2,Pulses
188,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Black pepper,409,98,Species
189,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Cashewnut,15,10.5,Nuts
190,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Dry chillies,128,148,Species
191,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Dry ginger,94,828.52,Species
192,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Groundnut,15.5,7.6,Nuts
193,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Maize,73,253,Cereal
194,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Moong(Green Gram),29.9,17.85,Fruits
195,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sunflower,1,0.5,Oilseeds
196,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sweet potato,32,235,Vegetables
197,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Turmeric,10,105,Species
198,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Urad,34,15.05,Pulses
199,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Banana,360,5517,Fruits
200,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Coconut ,3540,1.10E+07,Fruits
201,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Tapioca,22.5,220,Beans
202,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Arhar/Tur,21400,2600,Pulses
203,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Bajra,1400,500,Cereal
204,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Castor seed,1000,100,Oilseeds
205,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Cotton(lint),7300,9400,fibres
206,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Dry chillies,3700,7100,Species
207,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Groundnut,650800,228400,Nuts
208,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Horse-gram,3300,1000,Beans
209,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Jowar,10100,10200,Cereal
210,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Korra,2200,700,Pulses
211,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Maize,2800,4900,Cereal
212,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Moong(Green Gram),1300,500,Fruits
213,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Other Kharif pulses,800,100,Pulses
214,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Ragi,6700,11800,Cereal
215,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,35600,75400,Cereal
216,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sugarcane,700,72900,Sugarcane
217,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sunflower,35900,11100,Oilseeds
218,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Tobacco,200,200,Commercial
219,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Dry chillies,100,100,Species
220,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Gram,28000,14800,Beans
221,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Groundnut,20200,21700,Nuts
222,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Horse-gram,600,200,Beans
223,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Jowar,18800,9400,Cereal
224,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Korra,100,100,Pulses
225,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Maize,600,2400,Cereal
226,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Ragi,600,1000,Cereal
227,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Rice,18000,37300,Cereal
228,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Sunflower,30100,11100,Oilseeds
229,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Wheat,300,200,Cereal
230,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Arhar/Tur,27400,9100,Pulses
231,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Bajra,2600,1900,Cereal
232,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Castor seed,3200,1000,Oilseeds
233,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Cotton(lint),14000,12900,fibres
234,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Dry chillies,4000,10000,Species
235,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Groundnut,755200,867800,Nuts
236,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Horse-gram,2300,900,Beans
237,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Jowar,3700,5800,Cereal
238,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Korra,4600,3400,Pulses
239,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Maize,3300,6700,Cereal
240,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Moong(Green Gram),2100,1300,Fruits
241,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Other Kharif pulses,2000,300,Pulses
242,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Ragi,7000,14900,Cereal
243,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Rice,38300,96800,Cereal
244,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Sunflower,21300,12200,Oilseeds
245,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Dry chillies,200,200,Species
246,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Gram,26200,25900,Beans
247,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Groundnut,25900,35800,Nuts
248,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Horse-gram,700,500,Beans
249,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Jowar,14800,22100,Cereal
250,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Maize,300,1600,Cereal
251,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Ragi,700,1200,Cereal
252,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Rice,26600,63900,Cereal
253,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Sunflower,13500,3300,Oilseeds
254,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Wheat,400,200,Cereal
255,Andhra Pradesh,ANANTAPUR,1998,Whole Year ,Sugarcane,700,65900,Sugarcane
256,Andhra Pradesh,ANANTAPUR,1998,Whole Year ,Tobacco,100,100,Commercial
257,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Bajra,1635,889,Cereal
258,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Castor seed,1880,355,Oilseeds
259,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Cotton(lint),9453,10510,fibres
